cliente|edad|ingreso|sexo|flgLimaprov|trxAplus|trxAtm|trxBcaex|trxBm|trxBxi|trxIvr|trxPostc|trxPostd|trxSalex|trxSbt|trxVent|trx
00000028|[7. > 55]|[1. <=700]|M|1|0|10|0|43|5|0|0|1|28.999999999999996|1|2|91
00000044|[7. > 55]|[8. > 8000]|M|1|0|125|0|0|1679|0|76|21|0|11|6|1918
00000063|[7. > 55]|[3. <=2500]|F|1|0|24|0|0|0|0|0|0|2|0|0|26
00000070|[7. > 55]|[8. > 8000]|M|1|0|358.99999999999994|18|0|0|0|0|175|17|8|32|609
00000077|[7. > 55]|[4. <=3500]|M|1|0|8|0|0|23|7|111|0|2|7|12|170
00000082|[6. <=55]|[1. <=700]|F|1|0|89|3|0|19|7|41|131|7|10|16|323
00000088|[7. > 55]|[1. <=700]|F|1|0|8|0|0|0|1|0|0|5|7|2|23
00000115|[7. > 55]|[2. <=1500]|M|1|0|35|0|0|0|0|0|0|0|0|0|35
00000135|[7. > 55]|[2. <=1500]|F|1|0|23|11.999999999999998|0|25|0|0|33|1|0|0|94
00000139|[7. > 55]|[3. <=2500]|F|1|0|10|0|0|23|0|0|0|0|2|67|102
00000157|[6. <=55]|[4. <=3500]|M|1|0|24|0|0|0|0|0|0|0|0|3|27
00000160|[6. <=55]|[6. <=6000]|M|1|0|210|0|563|3382|7|296|62|0|10|2|4532
00000235|[7. > 55]|[3. <=2500]|F|1|0|2|0|0|8|0|0|0|1|1|3|15
00000239||[4. <=3500]|M|1|0|18|0|0|0|0|0|0|0|0|4|22
00000244|[7. > 55]|[1. <=700]|M|1|0|61|0|0|383|0|0|87.999999999999986|0|0|2|534
00000246|[7. > 55]|[1. <=700]|M|1|0|42|1|0|0|0|0|18|1|0|1|63
00000255|[6. <=55]|[8. > 8000]|F|1|7|0|0|0|0|0|0|0|60|0|60|127
00000265|[7. > 55]|[8. > 8000]|M|1|0|39|0|0|0|0|0|67|11|2|23|142
00000271|[7. > 55]|[3. <=2500]|F|1|0|228|5|0|0|16|0|64|0|29|7.0000000000000009|349
00000284|[6. <=55]|[8. > 8000]|M|1|0|154|1|36|3039|4|167|135|4|2|27|3569
00000338|[7. > 55]|[8. > 8000]|M|1|0|45|0|0|2383|6|459|0|0|19|99|3011
00000344|[7. > 55]|[5. <=4500]|F|0|0|38|21|0|2|1|0|28|1|21|4|116
00000348|[6. <=55]|[1. <=700]|M|1|0|19|0|0|0|0|0|0|0|0|0|19
00000349|[6. <=55]|[5. <=4500]|M|1|0|48|0|0|0|0|15|0|1|0|0|64
00000353|[7. > 55]|[6. <=6000]|F|1|0|87|0|0|0|0|0|0|1|0|0|88
00000360|[7. > 55]|[7. <=8000]|M|1|0|394|0|0|0|0|0|79|0|3|0|476
00000372|[6. <=55]|[5. <=4500]|F|1|0|126|0|0|0|0|0|0|0|3|0|129
00000373|[6. <=55]|[2. <=1500]|F|1|0|37|0|0|0|0|0|0|0|0|12|49
00000381|[6. <=55]|[5. <=4500]|F|1|0|124|0|0|0|0|0|0|0|4|0|128
00000432|[6. <=55]|[6. <=6000]|M|0|0|189|8|2848|5675|17|0|224|22|24.000000000000004|7|9014
00000059|[7. > 55]|[2. <=1500]|F|1|0|45|0|0|0|0|0|0|0|1|0|46
00000065|[7. > 55]|[1. <=700]|M|1|0|53|0|0|0|0|0|0|0|0|16|69
00000104|[7. > 55]|[3. <=2500]|F|0|0|2|0|0|0|0|0|0|3|1|8|14
00000113|[7. > 55]|[6. <=6000]|M|1|0|29|0|0|0|0|0|0|5|0|4|38
00000122|[7. > 55]|[8. > 8000]|M|1|0|337|0|0|3489|0|388|0|0|2|84|4300
00000136|[7. > 55]|[5. <=4500]|M|1|2|960|3|0|0|11|247|30|3|15|4.9999999999999991|1276
00000140|[7. > 55]|[1. <=700]|M|1|0|2|0|0|0|8|24|2|2|8|0|46
00000142|[7. > 55]|[3. <=2500]|F|1|0|74|0|0|0|0|0|115|0|0|0|189
00000153|[7. > 55]|[2. <=1500]|F|1|0|30|0|0|0|0|0|0|0|1|2|33
00000208|[7. > 55]|[4. <=3500]|M|1|0|48|0|0|6|7|0|23|23|4|5|116
00000229|[6. <=55]|[7. <=8000]|F|1|0|0|0|0|0|12|24|0|0|7.0000000000000009|0|43
00000240|[7. > 55]|[6. <=6000]|M|1|0|20|0|0|0|0|0|24|0|1|0|45
00000250|[7. > 55]|[8. > 8000]|M|1|0|55|1|0|7|2|22|54|1|2|8|152
00000257|[7. > 55]|[4. <=3500]|F|1|0|36|0|0|0|4|0|4|14|0|10|68
00000260|[7. > 55]|[3. <=2500]|M|1|0|0|0|0|0|6|36|0|0|9|0|51
00000264|[7. > 55]|[3. <=2500]|M|1|0|46|0|0|0|30|0|0|0|0|0|76
00000268|[7. > 55]|[2. <=1500]|M|1|0|42|7|15|0|0|0|15|0|1|0|80
00000269|[7. > 55]|[6. <=6000]|M|1|0|5|0|0|0|1|102|0|6|8|8|130
00000282|[7. > 55]|[8. > 8000]|M|1|0|112|0|0|0|0|7|0|1|4|3|127
00000283|[6. <=55]|[6. <=6000]|M|1|0|11.999999999999998|0|0|639|0|36|8|0|14.000000000000002|1|710
00000303||[2. <=1500]|F|1|0|0|0|0|0|0|0|0|2|0|25|27
00000305|[7. > 55]|[6. <=6000]|M|1|0|42|0|0|0|0|0|2|0|0|2.9999999999999996|47
00000306|[7. > 55]|[5. <=4500]|M|1|4|49|0|0|0|0|0|6|0|0|3|62
00000310|[7. > 55]|[1. <=700]|F|1|0|35|3|0|0|0|0|0|0|1|1|40
00000312|[7. > 55]|[1. <=700]|M|1|0|198|0|0|139|2|0|49.999999999999993|0|7|2|398
00000319|[6. <=55]|[5. <=4500]|M|1|0|128|4|6814|31|11|7|510.99999999999994|4|12|0|7522
00000325|[7. > 55]|[2. <=1500]|F|1|0|7.9999999999999991|0|0|638|3.9999999999999996|81|0|0|9|7.9999999999999991|748
00000329|[6. <=55]|[3. <=2500]|F|1|0|111|0|0|0|43|20|84|0|19|12|289
00000331|[7. > 55]|[4. <=3500]|F|1|0|6|0|0|0|8|0|0|0|10|8|32
00000345|[6. <=55]|[1. <=700]|F|1|4|74|0|9|148|4|288|0|65|19|36|647
00000011||[1. <=700]|M|1|7|36|2|0|19|0|78|50|14|5|40|251
00000017|[7. > 55]|[4. <=3500]|M|1|1|307|45|1564.0000000000002|3047|0|89|112|11|2|41|5219
00000018|[6. <=55]|[6. <=6000]|M|1|1|188|0|0|0|4|53|242|39|4|14|545
00000023|[7. > 55]|[6. <=6000]|M|1|0|22|0|0|53|0|14|1|14|24|2|130
00000024|[7. > 55]|[1. <=700]|M|1|0|2|0|0|0|0|23|4|0|1|0|30
00000048|[7. > 55]|[3. <=2500]|M|1|0|23|0|0|11|0|0|29|0|1|0|64
00000050||[6. <=6000]|M|1|0|27|0|0|0|0|0|2|0|0|9|38
00000055|[7. > 55]|[7. <=8000]|M|1|0|63|0|0|1881|7|108|1|0|13|3|2076
00000110|[6. <=55]|[6. <=6000]|M|1|0|33|0|79|656|0|0|5|1|1|0|775
00000133|[7. > 55]|[1. <=700]|F|1|0|180|0|0|348|4|0|125|21|8|50|736
00000137|[7. > 55]|[6. <=6000]|M|1|0|39.999999999999993|0|12|2183|2|237|0|0|2|16|2492
00000143|[7. > 55]|[4. <=3500]|M|1|0|71|0|0|658|0|0|0|0|0|15|744
00000150|[7. > 55]|[1. <=700]|M|1|0|126.00000000000001|2|0|1333|0|0|217.00000000000003|19|1|19|1717
00000182|[7. > 55]|[2. <=1500]|M|0|0|44|0|0|60.999999999999993|0|0|0|0|0|3|108
00000199||[1. <=700]|M|1|0|27.000000000000004|16|0|75|8|0|0|8|2|33|169
00000210|[7. > 55]||M|1|0|10|12|0|4|1|0|5|5|0|1|38
00000217|[7. > 55]|[1. <=700]|M|1|0|8|0|0|0|0|0|0|9|1|7.0000000000000009|25
00000225||[1. <=700]|M|1|0|0|0|0|0|0|105|0|0|4|13|122
00000226|[7. > 55]|[7. <=8000]|M|1|0|39|0|807|19|1|0|48|1|2|17|934
00000234|[7. > 55]|[2. <=1500]|M|1|0|3|0|0|0|1|11|0|0|2|0|17
00000272|[7. > 55]|[8. > 8000]|M|1|0|24|3|0|24|0|0|2|3|1|89|146
00000277|[7. > 55]|[8. > 8000]|M|1|0|0|0|0|0|0|40|0|0|2|5|47
00000313|[7. > 55]|[2. <=1500]|M|1|0|147|89|0|0|0|0|25|1|0|8|270
00000341|[6. <=55]|[5. <=4500]|F|1|0|86|0|804|1188|1|95|6|0|3|3|2186
00000363|[7. > 55]|[6. <=6000]|F|1|0|145|1|3332|65|0|0|37|1|4|1|3586
00000374|[7. > 55]|[7. <=8000]|F|1|0|104.00000000000001|0|1145|60|39|28|113.99999999999999|1|23|7|1521
00000383|[7. > 55]|[7. <=8000]|F|1|0|157|0|0|0|0|0|3|0|5|2|167
00000387|[7. > 55]|[4. <=3500]|M|1|0|61|0|0|0|0|0|5|0|1|6|73
00000388|[7. > 55]|[5. <=4500]|F|1|0|197.99999999999997|1|0|0|0|0|53|0|0|13|265
00000389|[7. > 55]|[1. <=700]|F|1|2|175|3|7|1398|35|28|156|3|39|15|1861
00000005|[7. > 55]|[8. > 8000]|M|1|0|122.99999999999999|17|0|0|0|0|241|33|0|7|421
00000014|[7. > 55]|[1. <=700]|M|1|0|8|0|0|0|0|0|0|18|0|12|38
00000025|[7. > 55]|[8. > 8000]|M|1|4|41|0|0|1861|2|12|1|5|0|32|1958
00000030|[7. > 55]|[7. <=8000]|M|1|0|172|0|5361|623|0|88|200|0|14|15.000000000000002|6473
00000035|[7. > 55]|[4. <=3500]|M|1|0|123|6|0|0|0|0|1|1|0|14|145
00000052|[7. > 55]|[8. > 8000]|M|1|0|0|0|0|13|0|156|0|0|12|0|181
00000062|[7. > 55]|[2. <=1500]|F|1|0|34|0|0|138|0|0|67|11|0|0|250
00000064|[7. > 55]|[8. > 8000]|M|0|0|115|0|0|0|0|4|0|0|2|20|141
00000076|[7. > 55]|[8. > 8000]|M|1|0|135|0|0|1490|4|101|0|76|9|91|1906
00000083|[7. > 55]|[7. <=8000]|M|1|0|60|0|0|165|2|0|41|1|4|2|275
00000093|[7. > 55]|[3. <=2500]|F|1|0|4|0|0|0|0|0|3|0|0|19|26
00000102|[7. > 55]|[4. <=3500]|M|1|0|28|0|0|0|1|0|0|0|0|18|47
00000120|[7. > 55]|[7. <=8000]|M|1|0|149|0|0|419|0|0|41|0|1|0|610
00000147|[7. > 55]|[1. <=700]|M|1|0|2|0|0|0|0|0|0|1|1|9|13
00000152|[7. > 55]|[3. <=2500]|M|1|0|27|0|0|0|0|0|0|0|0|12|39
00000193|[7. > 55]|[2. <=1500]|M|1|0|0|0|17|0|0|0|0|0|10|1|28
00000200|[7. > 55]|[6. <=6000]|F|1|0|272|5|0|0|0|0|120|3|0|1|401
00000207|[7. > 55]|[2. <=1500]|M|1|0|17|0|0|0|2|0|0|0|4|6|29
00000214|[6. <=55]|[3. <=2500]|M|1|0|340|0|0|0|4|0|0|0|0|1|345
00000223|[7. > 55]|[6. <=6000]|F|1|0|157|1|0|0|0|0|54|1|3|5|221
00000227|[7. > 55]|[6. <=6000]|M|1|0|88|0|3547|961|13|0|109|0|17|4|4739
00000232|[7. > 55]|[1. <=700]|M|0|0|7|0|0|0|0|0|0|0|0|9|16
00000236|[6. <=55]|[3. <=2500]|M|1|0|16|0|0|26|2|0|8|0|6|8|66
00000259|[7. > 55]|[6. <=6000]|M|1|0|44|1|0|0|0|0|28|0|1|5|79
00000261|[7. > 55]|[1. <=700]|M|1|0|28|0|0|401|7|0|9|0|11|7|463
00000263|[7. > 55]|[8. > 8000]|M|1|4|2|0|0|0|8|138|0|0|2|131|285
00000295|[7. > 55]|[7. <=8000]|M|1|0|44|0|0|473|0|69|0|0|1|2|589
00000302|[6. <=55]|[1. <=700]|M|0|0|147|9|0|0|0|0|8|0|2|2|168
00000315|[7. > 55]|[4. <=3500]|M|1|9|61|38|0|39.999999999999993|0|19.999999999999996|32|67|1|35|303
00000330|[7. > 55]|[6. <=6000]|F|1|0|60|0|0|0|0|64|34|0|3|6|167
00000012|[7. > 55]|[1. <=700]|M|1|0|22|0|10|0|9|29|0|0|5|0|75
00000013|[7. > 55]|[2. <=1500]|M|1|0|11|0|0|0|0|0|0|2|2|18|33
00000026|[7. > 55]|[7. <=8000]|M|1|0|125|0|0|982|2|222.00000000000003|2|0|12|8|1353
00000027|[7. > 55]|[8. > 8000]|M|1|0|71|0|0|480|0|0|21|8|0|1|581
00000033|[7. > 55]|[1. <=700]|M|1|0|132|0|0|0|1|18|71|1|1|61|285
00000069|[7. > 55]|[1. <=700]|M|1|0|35|0|0|0|0|0|0|0|0|5|40
00000071|[6. <=55]|[5. <=4500]|F|1|0|176|0|630|2854|2|26|209|0|4|7|3908
00000074|[7. > 55]|[6. <=6000]|M|0|0|44|0|0|2|2|3|30|4|7|4|96
00000078|[7. > 55]|[7. <=8000]|M|1|0|41|0|0|12|0|214|0|22|15|8|312
00000089|[7. > 55]|[6. <=6000]|M|1|0|91|0|0|0|44|31|90|2|28|16|302
00000100|[7. > 55]|[2. <=1500]|M|1|0|2|20|0|672|0|178|12|12|15.000000000000002|15.000000000000002|926
00000119|[7. > 55]|[8. > 8000]|M|1|2|414|0|0|0|0|0|67|0|1|102|586
00000129|[7. > 55]|[6. <=6000]|M|1|0|98|2|0|1770|0|0|70|1|1|5|1947
00000149|[7. > 55]|[2. <=1500]|M|1|0|1|0|0|253|0|7|1|0|9|0|271
00000155|[7. > 55]|[7. <=8000]|M|1|0|2|0|0|187|0|512|0|0|10|28|739
00000183|[7. > 55]|[2. <=1500]|M|1|0|77|0|0|0|0|33|0|0|0|0|110
00000194|[7. > 55]|[4. <=3500]|M|1|0|2|0|0|0|0|1|0|1|6|2|12
00000213|[7. > 55]|[5. <=4500]|M|1|0|17|0|0|0|0|0|3|7|1|1|29
00000220|[7. > 55]|[2. <=1500]|F|1|0|83|0|0|0|2|0|19|0|8|3|115
00000221|[7. > 55]|[8. > 8000]|F|1|0|17|0|66|0|0|0|15|0|9|2|109
00000231|[6. <=55]|[7. <=8000]|M|1|6|0|0|0|211|0|97.000000000000014|0|0|2|0|316
00000243|[7. > 55]|[2. <=1500]|F|1|0|34|0|0|0|0|175|3|2|0|77|291
