codmes|cliente|edad|ingreso|sexo|flgLimaProv|flgAfBxi|grupoGiro|monto|trx
201611|00032572|[1. <=25]|[2. <=1500]|F|1|1|restbar|12|1
201611|00029843|[1. <=25]|[3. <=2500]|F|0|1|prodlocal|22|1
201611|00030033|[2. <=30]|[2. <=1500]|F|0|1|restbar|10|1
201612|00003847|[7. > 55]|[3. <=2500]|M|1|0|restbar|350|4
201611|00033131|[1. <=25]|[2. <=1500]|F|1|1|restbar|65|2
201611|00031433|[2. <=30]|[3. <=2500]|M|1|1|prodlocal|16|1
201611|00029657||||||vehrep|200|2
201612|00000176|[7. > 55]|[8. > 8000]|M|1|1|restbar|194|2
201612|00000343|[6. <=55]|[3. <=2500]|M|1|0|restbar|1200|1
201611|00031479|[1. <=25]||M|1|1|entretenimiento|28|1
201611|00034421|[1. <=25]||F|0|1|vehrep|10|1
201611|00026339|[1. <=25]|[3. <=2500]|M|1|1|restbar|130|12
201611|00026451|[2. <=30]|[3. <=2500]|F|1|1|restbar|145|1
201612|00019491|[4. <=40]|[2. <=1500]|M|0|0|restbar|25|1
201612|00019545|[3. <=35]|[2. <=1500]|F|1|1|restbar|38|1
201612|00019751|[5. <=45]|[2. <=1500]|M|1|1|restbar|6|1
201612|00018984|[5. <=45]|[2. <=1500]|M|1|1|vehrep|17|1
201612|00019631|[4. <=40]|[2. <=1500]|F|1|0|restbar|45|1
201612|00031885|[2. <=30]|[3. <=2500]|M|1|1|entretenimiento|50|1
201612|00032139|[1. <=25]|[2. <=1500]|M|1|1|restbar|38|1
201612|00031663|[4. <=40]|[3. <=2500]|M|1|0|vehrep|20|1
201612|00013041|[5. <=45]|[4. <=3500]|M|1|0|restbar|100|1
201612|00014909|[4. <=40]|[3. <=2500]|F|1|1|restbar|69|1
201612|00015241|[3. <=35]|[3. <=2500]|M|1|1|restbar|42|1
201612|00019420|[2. <=30]|[3. <=2500]|M|0|1|vehrep|144|2
201612|00014570|[3. <=35]|[6. <=6000]|M|0|1|restbar|383|6
201612|00012819|[4. <=40]||M|1|1|vehrep|15|2
201612|00022648|[3. <=35]|[3. <=2500]|M|0|1|restbar|50|2
201612|00000559|[7. > 55]|[3. <=2500]|M|1|1|vehrep|256|3
201611|00033767|[3. <=35]|[2. <=1500]|F|1|1|restbar|51|2
201612|00003940|[5. <=45]|[4. <=3500]|M|1|1|restbar|5|1
201612|00000124|[7. > 55]|[6. <=6000]|M|1|0|vehrep|99|1
201612|00003283|[7. > 55]|[3. <=2500]|F|1|0|restbar|344|5
201612|00000877|[7. > 55]|[6. <=6000]|M|1|1|vehrep|200|4
201612|00000877|[7. > 55]|[6. <=6000]|M|1|1|restbar|354|3
201612|00008743|[4. <=40]|[6. <=6000]|M|0|1|vehrep|165|2
201612|00001101|[6. <=55]|[3. <=2500]|M|1|1|restbar|124|1
201612|00014999|[7. > 55]|[5. <=4500]|M|1|1|restbar|102|1
201612|00017681|[3. <=35]|[3. <=2500]|M|1|1|restbar|18|1
201612|00007480|[6. <=55]|[3. <=2500]|M|1|0|vehrep|100|1
201612|00006980|[7. > 55]|[3. <=2500]|M|1|0|vehrep|13|1
201612|00008015|[5. <=45]|[3. <=2500]|F|1|1|vehrep|100|1
201612|00009187|[6. <=55]|[4. <=3500]|M|0|1|restbar|41|1
201612|00009187|[6. <=55]|[4. <=3500]|M|0|1|vehrep|100|2
201611|00032488||||||prodsuper|81|1
201611|00033371|[2. <=30]|[2. <=1500]|M|0|0|tiendadepar|244|1
201611|00033596|[3. <=35]|[2. <=1500]|F|1|0|tiendadepar|39|1
201611|00033634|[1. <=25]|[2. <=1500]|F|1|1|prodsuper|58|2
201611|00030500|[1. <=25]|[2. <=1500]|M|1|1|prodsuper|54|1
201611|00030507|[1. <=25]|[2. <=1500]|M|1|1|prodsuper|24|2
201611|00030684|[6. <=55]|[2. <=1500]|M|1|0|prodsuper|92|1
201611|00029916|[3. <=35]|[6. <=6000]|M|1|1|tiendadepar|114|1
201611|00029925|[1. <=25]|[2. <=1500]|F|0|0|prodsuper|5|1
201612|00000394|[7. > 55]|[7. <=8000]|F|1|1|prodsuper|503|6
201611|00034511|[1. <=25]|[3. <=2500]|F|1|1|tiendadepar|159|1
201612|00004536|[7. > 55]|[3. <=2500]|M|0|0|prodpersondiv|175|1
201612|00017366|[2. <=30]|[3. <=2500]|F|0|1|prodsuper|67|2
201612|00018936|[5. <=45]|[4. <=3500]|M|1|1|prodsuper|47|7
201612|00018001||||||tiendadepar|443|2
201612|00018337|[4. <=40]|[3. <=2500]|M|1|0|prodsuper|256|4
201612|00018775|[2. <=30]|[3. <=2500]|F|1|1|prodsuper|25|1
201612|00018889|[3. <=35]|[2. <=1500]|M|0|1|prodsuper|6|1
201612|00029194|[3. <=35]|[2. <=1500]|F|1|1|prodsuper|45|2
201612|00019385|[1. <=25]||F|1|1|prodsuper|20|1
201612|00031695||||||tiendadepar|99|1
201612|00020316|[3. <=35]|[3. <=2500]|M|1|0|prodsuper|23|1
201612|00031618|[2. <=30]||F|1|1|prodsuper|85|4
201612|00031731|[4. <=40]|[3. <=2500]|M|1|1|tiendadepar|59|1
201612|00015245|[6. <=55]|[2. <=1500]|M|1|1|prodsuper|148|1
201612|00025531|[4. <=40]|[3. <=2500]|M|1|1|tiendadepar|24|1
201612|00025833|[3. <=35]|[3. <=2500]|M|0|1|tiendadepar|278|1
201612|00014570|[3. <=35]|[6. <=6000]|M|0|1|tiendadepar|137|4
201612|00014732|[6. <=55]|[4. <=3500]|F|1|0|tiendadepar|169|1
201612|00022625|[2. <=30]||M|1|1|prodsuper|29|3
201612|00022786|[2. <=30]|[2. <=1500]|F|0|1|tiendadepar|293|2
201612|00003918|[7. > 55]|[7. <=8000]|F|1|1|prodsuper|78|8
201612|00000861|[5. <=45]|[3. <=2500]|M|1|0|prodsuper|163|3
201612|00008360|[3. <=35]|[5. <=4500]|F|1|1|transplaerea|1887|4
201612|00008488|[6. <=55]|[3. <=2500]|F|1|0|tiendadepar|62|6
201612|00001101|[6. <=55]|[3. <=2500]|M|1|1|tiendadepar|1418|3
201612|00008808|[6. <=55]|[3. <=2500]|F|1|1|prodsuper|259|4
201612|00002715|[7. > 55]|[6. <=6000]|M|0|1|prodsuper|16|1
201612|00002945|[5. <=45]|[4. <=3500]|F|1|0|prodsuper|279|3
201612|00000643|[7. > 55]|[4. <=3500]|F|1|1|prodsuper|280|4
201612|00000850|[7. > 55]|[3. <=2500]|M|1|0|prodsuper|54|1
201612|00000867|[6. <=55]|[2. <=1500]|M|1|1|tiendadepar|4|1
201612|00014806|[2. <=30]||F|1|1|tiendadepar|109|1
201612|00014872|[7. > 55]|[3. <=2500]|M|1|0|tiendadepar|193|1
201612|00031663|[4. <=40]|[3. <=2500]|M|1|0|restbar|121|5
201611|00032400|[4. <=40]|[2. <=1500]|M|0|1|restbar|63|1
201611|00032920|[1. <=25]|[2. <=1500]|F|1|0|restbar|12|1
201611|00029879|[4. <=40]||F|1|1|vehrep|5|1
201611|00033357|[6. <=55]|[2. <=1500]|M|1|1|vehrep|17|2
201611|00031315|[2. <=30]|[3. <=2500]|M|1|1|vehrep|142|5
201611|00030419||||||restbar|34|1
201611|00030555|[4. <=40]||M|1|1|vehrep|2|1
201611|00031211|[1. <=25]|[2. <=1500]|F|0|1|entretenimiento|48|3
201611|00031400|[1. <=25]||F|1|0|entretenimiento|29|1
201611|00029939|[1. <=25]|[2. <=1500]|F|1|1|restbar|18|1
